Date Local,pm25_aqi,ozone_aqi,AQI,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,winddirection_10m_dominant,dewpoint_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,cloudcover_mean,shortwave_radiation_sum
2020-01-01,66.0,34.0,66.0,17.8,7.1,0.0,11.7,56,5.0,64,1016.4,37,11.14
2020-01-02,66.0,31.0,66.0,17.1,7.3,0.0,14.0,72,8.8,84,1014.9,59,11.29
2020-01-03,57.0,21.0,57.0,20.9,9.9,0.0,9.0,39,5.9,55,1022.8,79,11.83
2020-01-04,72.0,33.0,72.0,19.0,9.6,0.0,9.6,69,7.0,65,1026.2,60,11.96
2020-01-05,62.0,29.0,62.0,20.0,7.8,0.0,9.0,37,6.2,67,1024.6,81,11.48
2020-01-06,42.0,28.0,42.0,21.1,5.9,0.0,8.1,42,3.2,57,1024.4,0,12.64
2020-01-07,36.0,31.0,36.0,23.0,5.2,0.0,8.8,22,3.7,57,1019.6,65,11.32
2020-01-08,60.0,27.0,60.0,17.3,7.1,0.0,18.6,111,7.3,78,1015.9,29,12.11
2020-01-10,57.0,24.0,57.0,16.9,4.5,0.0,8.9,48,5.5,75,1022.3,10,12.38
2020-01-11,65.0,27.0,65.0,15.8,5.8,0.0,9.8,89,7.0,78,1020.7,35,10.63
2020-01-12,67.0,37.0,67.0,16.0,7.9,0.0,11.6,23,7.7,83,1018.6,19,12.16
2020-01-13,73.0,38.0,73.0,16.5,7.1,0.0,13.6,52,6.8,78,1019.1,21,12.65
2020-01-14,71.0,35.0,71.0,15.7,7.4,0.0,8.4,30,7.1,77,1019.3,42,10.65
2020-01-15,97.0,36.0,97.0,18.0,6.4,0.0,10.7,293,7.6,78,1016.4,39,12.72
2020-01-16,83.0,33.0,83.0,14.2,6.3,2.6,15.9,172,7.9,85,1017.4,72,6.67
2020-01-17,37.0,29.0,37.0,16.1,7.5,4.6,14.6,55,7.6,78,1022.1,68,12.03
2020-01-18,33.0,32.0,33.0,19.8,4.6,0.0,7.9,359,3.5,61,1022.0,45,12.56
2020-01-19,43.0,28.0,43.0,20.7,5.6,0.0,7.4,42,3.1,55,1019.0,59,10.02
2020-01-20,67.0,34.0,67.0,16.4,9.4,0.0,10.5,156,8.9,75,1018.1,96,5.4
2020-01-21,43.0,38.0,43.0,16.0,9.8,0.7,14.0,225,10.3,84,1020.5,78,7.9
2020-01-22,61.0,31.0,61.0,17.5,8.2,0.0,9.8,83,9.2,85,1021.7,34,12.76
2020-01-23,53.0,31.0,53.0,22.5,8.8,0.0,9.9,23,7.8,68,1019.1,32,13.5
2020-01-24,59.0,24.0,59.0,21.8,10.9,0.0,12.2,93,6.0,57,1015.9,56,13.5
2020-01-25,99.0,27.0,99.0,21.4,8.6,0.0,9.8,143,8.6,73,1017.3,36,13.34
2020-01-26,130.0,34.0,130.0,17.1,9.6,0.0,15.5,145,10.8,91,1020.7,65,8.24
2020-01-27,76.0,34.0,76.0,22.4,8.6,0.0,14.5,86,8.0,71,1022.0,34,13.48
2020-01-28,59.0,36.0,59.0,24.0,7.8,0.0,18.6,300,3.1,48,1020.1,10,14.4
2020-01-29,38.0,40.0,40.0,23.6,8.3,0.0,13.0,345,-0.9,37,1016.2,5,14.61
2020-01-30,43.0,28.0,43.0,23.8,7.7,0.0,12.6,14,-5.3,27,1018.8,41,13.77
2020-01-31,51.0,32.0,51.0,26.8,9.2,0.0,13.8,47,0.6,36,1022.3,28,14.9
2020-02-01,44.0,39.0,44.0,28.5,12.4,0.0,10.0,3,-0.7,28,1021.7,4,15.12
2020-02-02,54.0,36.0,54.0,22.5,13.6,0.3,15.9,157,4.8,48,1013.7,28,15.0
2020-02-03,19.0,40.0,40.0,17.3,7.9,0.0,37.4,333,-12.3,19,1011.6,16,15.5
2020-02-04,39.0,36.0,39.0,15.7,3.8,0.0,20.7,234,-15.6,17,1019.6,4,16.31
2020-02-05,30.0,31.0,31.0,17.5,2.0,0.0,13.9,245,-8.9,29,1021.6,34,15.63
2020-02-06,54.0,39.0,54.0,19.0,5.7,0.0,14.3,71,-1.4,43,1020.4,2,15.58
2020-02-08,76.0,49.0,76.0,21.1,6.6,0.0,15.8,189,6.9,72,1015.7,3,15.86
2020-02-09,61.0,32.0,61.0,15.2,9.6,2.7,17.3,96,8.5,80,1010.5,85,6.08
2020-02-10,35.0,36.0,36.0,23.0,8.6,0.3,17.4,261,0.1,41,1010.6,33,13.36
2020-02-11,40.0,43.0,43.0,21.7,7.0,0.0,19.2,275,-2.0,36,1015.6,2,16.98
2020-02-12,50.0,40.0,50.0,19.2,7.7,0.0,12.1,114,2.6,52,1018.5,4,16.5
2020-02-13,58.0,42.0,58.0,20.9,7.3,0.0,16.2,228,5.2,63,1017.9,32,16.69
2020-02-14,64.0,44.0,64.0,21.4,8.4,0.0,18.8,209,5.1,59,1018.1,8,16.92
2020-02-15,69.0,46.0,69.0,20.9,7.2,0.0,13.0,153,6.3,66,1020.9,8,16.92
2020-02-16,66.0,64.0,66.0,21.2,8.0,0.0,14.3,124,6.6,65,1019.1,3,16.5
2020-02-17,74.0,49.0,74.0,22.8,8.1,0.0,11.7,110,7.1,65,1014.2,39,17.02
2020-02-18,77.0,43.0,77.0,22.8,10.2,0.0,17.1,192,9.1,71,1015.1,68,14.61
2020-02-19,85.0,44.0,85.0,21.1,11.5,0.0,14.3,202,10.7,76,1017.4,29,16.15
2020-02-20,63.0,45.0,63.0,27.0,9.9,0.0,14.7,149,2.9,44,1017.9,1,18.05
2020-02-21,55.0,44.0,55.0,24.6,14.4,1.5,15.5,136,3.7,42,1016.2,37,13.98
2020-02-22,31.0,38.0,38.0,17.8,12.1,1.9,16.1,169,10.1,77,1017.2,67,13.82
2020-02-23,51.0,42.0,51.0,19.9,10.9,0.0,16.6,206,10.2,79,1023.4,34,14.32
