Date Local,pm25_aqi,ozone_aqi,AQI,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,winddirection_10m_dominant,dewpoint_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,cloudcover_mean,shortwave_radiation_sum,month,day_of_week,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_7,aqi_lag_14,ozone_dominant,ozone_dominant_lag1,had_rain,days_since_rain,aqi_rolling_7d_mean,aqi_rolling_7d_std
2020-03-01,38.0,43.0,43.0,15.4,10.8,1.6,22.0,186,6.8,67,1014.6,86,9.98,3,6,1,46.0,40.0,44.0,51.0,66.0,1,0.0,0,21.0,48.142857142857146,6.693991620066738
2020-03-02,24.0,40.0,40.0,22.0,8.1,1.3,23.3,300,-0.1,44,1011.6,23,19.51,3,0,0,43.0,46.0,40.0,60.0,74.0,1,1.0,0,22.0,47.0,6.806859285554039
2020-03-03,37.0,36.0,37.0,28.1,10.4,0.0,28.4,298,-3.3,27,1013.2,0,20.38,3,1,0,40.0,43.0,46.0,52.0,77.0,0,1.0,0,23.0,44.142857142857146,4.099941927579436
2020-03-04,63.0,37.0,63.0,24.1,10.3,0.0,17.0,148,8.3,63,1019.0,44,19.89,3,2,0,37.0,40.0,43.0,44.0,85.0,0,0.0,0,24.0,42.0,3.109126351029607
2020-03-05,62.0,47.0,62.0,24.8,10.6,0.0,17.9,233,10.3,72,1019.6,83,19.27,3,3,0,63.0,37.0,40.0,44.0,63.0,0,0.0,0,25.0,44.714285714285715,8.59678788296896
2020-03-06,71.0,41.0,71.0,22.7,10.8,0.0,17.5,173,10.9,77,1016.2,67,18.1,3,4,0,62.0,63.0,37.0,40.0,55.0,0,0.0,0,26.0,47.285714285714285,10.76590738882524
2020-03-07,18.0,36.0,36.0,17.8,11.2,1.6,22.4,212,9.1,75,1015.9,88,12.07,3,5,1,71.0,62.0,63.0,46.0,38.0,1,0.0,0,27.0,51.714285714285715,13.338094388058659
2020-03-08,14.0,36.0,36.0,18.9,9.9,1.3,19.4,220,7.4,68,1016.6,70,17.24,3,6,1,36.0,71.0,62.0,43.0,51.0,1,1.0,0,28.0,50.285714285714285,14.534032311719114
2020-03-09,19.0,31.0,31.0,23.0,9.2,0.0,31.9,106,4.3,52,1018.2,94,12.04,3,0,0,36.0,36.0,71.0,40.0,60.0,1,1.0,0,29.0,49.285714285714285,15.337473561121312
2020-03-10,22.0,24.0,24.0,18.1,13.3,28.6,21.7,109,13.1,87,1016.7,90,6.65,3,1,0,31.0,36.0,36.0,37.0,52.0,1,1.0,1,0.0,48.0,16.57307052620807
